links_bchighwaycam,links_imageDisplay,links_imageThumbnail,links_replayTheDay,id,highway_number,highway_locationDescription,camName,caption,credit,orientation,latitude,longitude
https://images.drivebc.ca/bchighwaycam/pub/html/www/254.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/254.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/254.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=254,254,5,,Blue River,"Highway 5 at Shell Road in Blue River, looking northeast.",,NE,52.108937 ,-119.309045 
https://images.drivebc.ca/bchighwaycam/pub/html/www/255.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/255.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/255.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=255,255,37A,,Stewart,"Highway 37a between Stewart, BC and Hyder, USA, looking north.",,N,55.927731 ,-130.006464 
https://images.drivebc.ca/bchighwaycam/pub/html/www/256.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/256.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/256.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=256,256,37,,Meziadin Junction,"Highway 37 and Highway 37A at Meziadin Junction, looking north.",,N,56.099773 ,-129.306973 
https://images.drivebc.ca/bchighwaycam/pub/html/www/257.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/257.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/257.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=257,257,19,,Woss,"Highway 19 about 75 km southeast of Port McNeill and 128 km north of Campbell River, looking east.",,E,50.215912 ,-126.594834 
https://images.drivebc.ca/bchighwaycam/pub/html/www/259.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/259.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/259.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=259,259,11,Canada/US Border Crossing,Hwy 11 at Farmer Road - N,"Highway 11 at Farmer Road, looking north.",,N,49.009475 ,-122.265239 
https://images.drivebc.ca/bchighwaycam/pub/html/www/260.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/260.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/260.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=260,260,11,Canada/US Border Crossing,Hwy 11 at Farmer Road - S,"Highway 11 at Farmer Road, looking south.",,S,49.009475 ,-122.265239 
https://images.drivebc.ca/bchighwaycam/pub/html/www/261.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/261.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/261.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=261,261,13,Canada/US Border Crossing,Hwy 13 at 264 Street Diversion - S,"Highway 13 at 264 Street Diversion, south of 8 Avenue, looking south.",,S,49.011816 ,-122.492594 
https://images.drivebc.ca/bchighwaycam/pub/html/www/262.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/262.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/262.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=262,262,28,,Gold River Highway,"Highway 28 (Gold River Highway) about 24 km west of Campbell River, looking west.",,W,49.961678 ,-125.510814 
https://images.drivebc.ca/bchighwaycam/pub/html/www/263.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/263.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/263.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=263,263,17,Victoria,McTavish Road - N,"Highway 17 at McTavish Road, looking north.",,N,48.629977 ,-123.412233 
https://images.drivebc.ca/bchighwaycam/pub/html/www/264.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/264.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/264.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=264,264,17,Victoria,McTavish Road - S,"Highway 17 at McTavish Road, looking south.",,S,48.629977 ,-123.412233 
https://images.drivebc.ca/bchighwaycam/pub/html/www/265.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/265.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/265.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=265,265,3,,Midway - W,"Highway 3 at Florence Street in Midway, looking west.",,W,49.010617 ,-118.776123 
https://images.drivebc.ca/bchighwaycam/pub/html/www/266.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/266.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/266.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=266,266,3,,Midway - E,"Highway 3 at Florence Street in Midway, looking east.",,E,49.010617 ,-118.776123 
